40000 B.C.  	Cro-Magnon man (homo sapiens) is active in Europe and the Middle East.
1450 B.C.  	The Minoan civilization on Crete is overrun by invaders from the Greek mainland.
1400 B.C.  	Anyang becomes the capital of the Shang dynasty about this time.
1400 B.C.  	Minoan Linear A script writing is replaced by Linear B script.
1400 B.C.  	The city of Ravenna is founded by Italic tribes about this time.
1380 B.C.  	Akhenaten rules Egypt with Nefertiti as his queen-consort.
1370 B.C.  	The Sea Peoples destroy the ancient city of Ugarit about this time.
1365 B.C.  	Assyria regains its independence from Mitanni.
1361 B.C.  	Tutankhamen becomes king of Egypt at age nine.
1350 B.C.  	Hittite invaders destroy the Kingdom of Mitanni in Mesopotamia.
1304 B.C.  	Ramses II becomes pharaoh of Egypt; he begins building the temples at Abu Simbel.
1300 B.C.  	Sidon becomes a prominent Phoenician trading center.
1300 B.C.  	The Hittites are dominant in the Near East after they defeat the Egyptians at Kadesh.
1265 B.C.  	The Elamite king Untashgal begins his reign.
1250 B.C.  	Shalmaneser I founds the Assyrian city of Nimrud.
1200 B.C.  	Moses leads the Israelites from Egypt toward Canaan.
1200 B.C.  	The Chavin culture begins to develop in Peru.
1200 B.C.  	The Olmec civilization begins to develop at San Lorenzo in Mesoamerica.
1200 B.C.  	The Sea Peoples overrun the Hittite kingdom.
1200 B.C.  	The art of iron smelting is perfected by this time.
1190 B.C.  	The Trojan War occurs about this time.
1130 B.C.  	Babylonians raid the kingdom of Elam.
1100 B.C.  	The Phoenicians found Cadiz in Spain.
1100 B.C.  	The city of Mycenae falls to invasion in Greece.
1100 B.C.  	The sheng mouth organ is developed in China.
1085 B.C.  	Egypt is split in two during the Late Dynastic Period.
1027 B.C.  	The Shang are overthrown in China; the Chou dynasty begins.
1020 B.C.  	The Israelite tribes form a kingdom under Saul.
1000 B.C.  	David defeats the Philistines; Jerusalem is established as the capital of Israel.
1000 B.C.  	Saul commits suicide after defeat by the Philistines; he is succeeded by David.
1000 B.C.  	The Dorians invade the island of Rhodes.
1000 B.C.  	The Gezer calendar, the earliest known Hebrew inscription, dates from this time.
1000 B.C.  	The Mound Builders are active in North America about this time.
972 B.C.   	Solomon succeeds David as king of Israel.
935 B.C.   	Sheshonk I becomes the first king of Egypt's 22nd dynasty.
922 B.C.   	Jeroboam becomes the first king of Israel; war begins between Judah and Israel.
922 B.C.   	The Hebrew kingdom is divided into Israel and Judah after the death of Solomon.
900 B.C.   	The Andean culture of Paracas begins to flourish about this time.
900 B.C.   	The Celts begin to inhabit Gaul.
900 B.C.   	The Olmec seat of power shifts from San Lorenzo to La Venta in Mesoamerica.
887 B.C.   	The city of Canton is founded in China.
883 B.C.   	Ashurnasirpal II begins to expand the Assyrian empire.
870 B.C.   	King Ahab of Israel marries the Phoenician princess Jezebel.
850 B.C.   	The Villanovan culture begins to develop in the Tuscany region of Italy about this time.
842 B.C.   	Jehu overthrows Ahab to become king of Israel.
814 B.C.   	The Phoenicians found the city of Carthage about this time.
800 B.C.   	The Greek city of Corinth is founded about this time.
776 B.C.   	The first Olympic Games are held in Greece.
753 B.C.   	Romulus and Remus found the city of Rome.
750 B.C.   	Greek author Homer is active about this time according to some scholars.
750 B.C.   	The Etruscans begins to expand their colonies in Italy about this time.
750 B.C.   	The earliest Greek colony in Italy is founded at Cumae about this time.
745 B.C.   	King Tiglath-Pileser III begins the restoration of Assyrian imperial power.
735 B.C.   	Ahaz becomes king of Judah.
734 B.C.   	The Corinthians settle the island of Corfu.
732 B.C.   	Assyrian king Tiglath-Pileser III captures Damascus and makes Israel a vassal state.
729 B.C.   	The Assyrians seize the throne of Babylon.
722 B.C.   	Peking (Beijing) becomes the capital of the Yen Kingdom in China.
722 B.C.   	The Assyrians conquer the kingdom of Israel.
721 B.C.   	Sargon II founds the last Assyrian dynasty.
716 B.C.   	Egypt is conquered by the rulers of Cush, who found the 25th dynasty.
715 B.C.   	Sparta conquers Messenia in the First Messenian War.
704 B.C.   	King Sennacherib establishes Nineveh as the capital of Assyria.
700 B.C.   	Bireme galleys with two banks of oars are developed.
700 B.C.   	Iron implements begin to replace copper during the Hallstatt Period in Europe.
700 B.C.   	The Lydians begin using coins as currency.
700 B.C.   	The saddle is developed by the Scythians about this time.
691 B.C.   	The Assyrians build an early aqueduct, transporting water 34 miles to Nineveh.
689 B.C.   	The Assyrians suppress a Babylonian revolt and destroy the city of Babylon.
688 B.C.   	The sport of boxing is included in the Olympic Games.
681 B.C.   	King Sennacherib of Assyria is assassinated; Esarhaddon succeeds him.
671 B.C.   	The Assyrians capture Memphis and rule part of Egypt.
664 B.C.   	Psamtik I founds the 26th dynasty and begins to reunite Egypt.
663 B.C.   	Assyria reaches its greatest extent under king Ashurbanipal.
661 B.C.   	The Egyptian city of Thebes is sacked by the Assyrians.
660 B.C.   	According to legend the Japanese state is founded by emperor Jimmu.
660 B.C.   	The city of Byzantium (Istanbul) is founded.
646 B.C.   	Assyrian ruler Ashurbanipal captures and burns Susa, ending the Elamite kingdom.
640 B.C.   	Josiah becomes king of Judah.
640 B.C.   	Perdiccas I establishes the Kingdom of Macedonia about this time.
630 B.C.   	The Cimmerians are conquered by the Scythians in European Russia.
625 B.C.   	King Cyaxares unifies the Median tribes in western Asia.
625 B.C.   	Periander succeeds his father Cypselus as tyrant of Corinth.
624 B.C.   	Horse racing becomes an event in the Olympic Games.
616 B.C.   	The Etruscan king Tarquinius Priscus rules Rome.
612 B.C.   	The Medes and Babylonians sack Nineveh; the Assyrian Empire collapses.
609 B.C.   	Necho II succeeds his father Psamtik I as pharaoh of Egypt.
600 B.C.   	Building of a Doric temple begins at the sacred sanctuary of Olympia in Greece.
600 B.C.   	The Greek colony of Poseidonia (Paestum) is founded in Italy.
600 B.C.   	The Greeks found Massilia (Marseille) on the Mediterranean coast.
600 B.C.   	The religion of Zoroastrianism develops in Iran about this time.
597 B.C.   	Zedekiah, the last king of Judah, begins his reign.
594 B.C.   	The archon Solon makes sweeping social reforms in Athens.
586 B.C.   	The Chaldeans under Nebuchadnezzar II destroy the Hebrew capital of Jerusalem.
586 B.C.   	The Jews begin their Babylonian captivity.
585 B.C.   	Greek philosopher and scientist Thales of Miletus predicts an eclipse of the Sun.
570 B.C.   	Ahmose II becomes king of Egypt.
570 B.C.   	Cleitias, a Greek vase painter of the Black Figure style, is active about this time.
561 B.C.   	Peisistratus becomes tyrant of Athens.
560 B.C.   	Croesus succeeds his father Alyattes as king of Lydia.
550 B.C.   	Cyrus the Great conquers the Medes and founds the Achaemenid Persian empire.
550 B.C.   	Lao-Tzu develops the Tao Te Ching, outlining the philosophy of Taoism.
550 B.C.   	The first plays are performed in Greece about this time.
547 B.C.   	Cyrus the Great defeats King Croesus and captures the Lydian capital of Sardis.
546 B.C.   	Greek philosopher and scientist Thales of Miletus dies about this time.
543 B.C.   	Colombo is settled in Sri Lanka.
539 B.C.   	The Persians under Cyrus the Great conquer Babylon.
537 B.C.   	The Persians free the Jews from Babylonian rule.
534 B.C.   	The actor Thespis wins first prize in a tragedy competition held in Athens.
530 B.C.   	Cyrus the Great is killed in battle; he is succeeded by his son Cambyses II.
525 B.C.   	The Persians under Cambyses II conquer Egypt.
520 B.C.   	Epictetus, a Red Figure style painter of Greek vases, is active about this time.
518 B.C.   	Darius I begins building the city of Persepolis as the Persian royal residence.
512 B.C.   	Darius I conquers the city of Byzantium.
510 B.C.   	Spartan king Cleomenes I overthrows the Athenian tyrant Hippias.
510 B.C.   	The last Roman king Tarquinius Superbus is expelled.
509 B.C.   	Rome becomes a republic.
507 B.C.   	Cleisthenes introduces democracy to Athens.
500 B.C.   	Etruscan king Lars Porsena besieges Rome.
500 B.C.   	The Adena mound complexes are built in the Ohio Valley in North America.
500 B.C.   	The Zapotec found the city of Monte Alban in Mesoamerica.
500 B.C.   	The earliest known hand-knotted carpet is buried in a tomb at Pazyryk in Siberia.
494 B.C.   	Cleomenes I of Sparta defeats the city of Argos in Greece.
493 B.C.   	Rome concludes an alliance with the Latin League.
491 B.C.   	Gelon becomes ruler of Sicily after the death of Hippocrates, the tyrant of Gela.
490 B.C.   	The Greeks defeat the Persians at the Battle of Marathon.
480 B.C.   	Greek philosopher Heraclitus of Ephesus is active about this time.
480 B.C.   	Greek philosopher Pythagoras of Samos dies about this time.
480 B.C.   	Siddhartha Gautam, the Buddha, dies about this time in India.
480 B.C.   	The Greeks defeat the Persian navy at Salamis; over 1,000 triremes are used.
480 B.C.   	The Persians defeat the Greeks at Thermopylae; Athens is burned.
479 B.C.   	The Greeks under Aristides and Pausanias defeat the Persians at Plataea.
478 B.C.   	The Delian League is established under the leadership of Athens.
472 B.C.   	Aeschylus' earliest preserved play The Persians is performed.
465 B.C.   	Xerxes is assassinated; he is succeeded by his son Artaxerxes I as king of Persia.
460 B.C.   	Pericles becomes the political leader of Athens about this time.
450 B.C.   	The La Tene Period begins in Central Europe.
447 B.C.   	Building of the Parthenon begins in Athens.
445 B.C.   	The ban on marriage between patricians and plebeians is removed in Rome.
431 B.C.   	The Peloponnesian War begins between Athens and Sparta.
430 B.C.   	Herodotus writes The History of the Persian Wars about this time.
425 B.C.   	Sophocles' play Oedipus Rex is completed about this time.
415 B.C.   	Euripides' play The Trojan Women is performed for the first time.
411 B.C.   	Aristophanes' play Lysistrata is performed for the first time.
411 B.C.   	Athenian historian Thucydides ends his History of the Peloponnesian War.
411 B.C.   	Athenian historian Xenophon begins to write the Hellenica, a history of Greece.
405 B.C.   	Spartan general Lysander defeats the Athenian fleet at Aegospotami.
404 B.C.   	Egypt becomes independent from Persia.
404 B.C.   	Sparta conquers Athens and assumes the leadership of all Greece.
403 B.C.   	Ssu-ma Kuang begins compiling the Chinese history the Tzu-chih t'ung-chien.
401 B.C.   	Persian king Artaxerxes II defeats and kills his brother Cyrus the Younger at Cunaxa.
400 B.C.   	Construction of the hill fort at Maiden Castle begins in England about this time.
400 B.C.   	Greek philosopher Democritus is active about this time.
400 B.C.   	Greek physician Hippocrates is active about this time.
399 B.C.   	Socrates is executed for impiety and corrupting the youth of Athens.
396 B.C.   	Spartan king Agesilaus II defeats the Persian satrap Tissaphernes.
396 B.C.   	The Etruscan city of Veii is conquered by Rome after a 10-year siege.
390 B.C.   	Gallic king Brennus sacks Rome.
387 B.C.   	Plato founds the Academy in Athens about this time.
386 B.C.   	The Thebans and Athenians renew the war against Sparta.
371 B.C.   	Epaminondas defeats the Spartans at Leuctra; Thebes is dominant in Greece.
370 B.C.   	Greek philosopher Plato writes The Republic.
359 B.C.   	Philip II becomes king of Macedonia.
354 B.C.   	Greek historian Xenophon dies about this time.
350 B.C.   	Praxiteles completes the sculpture Hermes Holding the Infant Dionysus.
341 B.C.   	The Persians reconquer Egypt.
340 B.C.   	Greek sculptor Lysippus completes the bronze statue of the Farnese Heracles.
339 B.C.   	Philip II of Macedonia defeats the forces of Athens and Thebes at Chaeronea.
338 B.C.   	Rome defeats the Latin League in the Latin Wars.
336 B.C.   	Philip II is assassinated; Alexander the Great succeeds him as king of Macedonia.
333 B.C.   	Alexander conquers Syria, Phoenicia, and Egypt.
333 B.C.   	Alexander defeats the Persian king Darius III at the Battle of Issus.
332 B.C.   	Alexander founds Alexandria in Egypt.
331 B.C.   	Alexander defeats the Persian king Darius III at Gaugamela.
327 B.C.   	Alexander invades India.
323 B.C.   	Alexander dies at Babylon; the Diadochi seek control of the Macedonian empire.
323 B.C.   	Alexander's general Ptolemy I inherits Egypt and Palestine.
321 B.C.   	Chandragupta Maurya founds the Maurya dynasty of India.
320 B.C.   	A portrait of Aristotle, the first example of true portraiture, is painted in Greece.
312 B.C.   	The Romans begin building the Via Appia (the Appian Way).
305 B.C.   	Seleucus I Nicator (the Conqueror) becomes king of Macedonia.
300 B.C.   	Greek mathematician Euclid is active about this time.
300 B.C.   	The Okvik prehistoric Eskimo culture develops in Alaska.
300 B.C.   	The Sarmatians displace the Scythians in European Russia about this time.
290 B.C.   	Rome defeats the Samnites, ending the Samnite Wars.
290 B.C.   	The Sabines are granted Roman citizenship.
282 B.C.   	Greek king Pyrrhus of Epirus aids the Tarentines in their war against Rome.
280 B.C.   	The Pharos lighthouse, one of the Seven Wonders of the World, is built at Alexandria.
279 B.C.   	The Greeks block the advance of the Gauls at Thermopylae.
275 B.C.   	The Gauls settle Galatia in central Anatolia.
273 B.C.   	The Romans and their allies conquer the Etruscan city of Caere.
264 B.C.   	Carthage occupies Sicily, beginning the First Punic War with Rome.
264 B.C.   	Contests between gladiators are held in Rome by this time.
256 B.C.   	The Romans under Marcus Atilius Regulus beseige Carthage but are defeated.
250 B.C.   	Indian emperor Asoka makes Buddhism the state religion about this time.
247 B.C.   	The Carthaginians under Hamilcar Barca renew their attack on Sicily.
246 B.C.   	Ptolemy III succeeds his father Ptolemy II as king of Egypt.
241 B.C.   	Rome defeats the Carthaginians, ending the First Punic War.
240 B.C.   	Eratosthenes of Cyrene calculates the circumference of the Earth about this time.
240 B.C.   	Livius Andronicus produces the first Latin literature in Rome.
239 B.C.   	The appearance of Halley's comet is recorded for the first time.
238 B.C.   	The Romans seize Sardinia and Corsica from Carthage.
237 B.C.   	Carthaginian generals Hasdrubal and Hannibal conquer large areas of Spain.
230 B.C.   	Epigonus of Pergamum sculpts the bronze statue The Dying Gaul.
230 B.C.   	The Buddhist Andhra dynasty rules in Andhra Pradesh, India.
228 B.C.   	King Attalus I of Pergamum conquers most of Seleucid Anatolia.
227 B.C.   	Spartan king Cleomenes III defeats the Achaean League.
222 B.C.   	Macedonian king Antigonus III assists the Achaean League in defeating the Spartans.
221 B.C.   	China is unified under Shih Huang-ti (First Emperor) of the Ch'in dynasty.
221 B.C.   	Philip V succeeds Antigonus III as king of Macedonia.
219 B.C.   	Carthaginian general Hannibal attacks the Romans at Saguntum (Sagunto) in Spain.
218 B.C.   	Carthaginian general Hannibal leads his army across the Alps to invade Italy.
218 B.C.   	Rome declares war on Spain; the Second Punic War begins.
216 B.C.   	Hannibal defeats four Roman legions at Cannae.
215 B.C.   	Construction of The Great Wall of China begins about this time.
212 B.C.   	The mathematician Archimedes is killed during the Roman conquest of Syracuse.
210 B.C.   	Chinese emperor Shih Huang-ti dies; he is buried with a life-sized pottery army.
206 B.C.   	Roman general Scipio Africanus Major defeats the Carthaginians in Spain.
206 B.C.   	Seleucid king Antiochus III conquers Armenia, Parthia and Bactria.
204 B.C.   	Roman general Scipio Africanus Major invades North Africa.
202 B.C.   	The Han dynasty begins in China under Liu Pang, ending the Ch'in dynasty.
202 B.C.   	The Romans defeat Hannibal at Zama; Carthage became a Roman dependency.
202 B.C.   	The Seleucid king Antiochus III begins his conquest of Syria and Palestine.
201 B.C.   	Masinissa founds the kingdom of Numidia in North Africa.
201 B.C.   	Rome unites with Pergamum and Rhodes against Philip V of Macedonia.
200 B.C.   	Gauls of the Parisii tribe establish a settlement on the site of Paris.
200 B.C.   	Iron horseshoes came into use about this time.
200 B.C.   	Parchment comes into wide use about this time.
200 B.C.   	Roman comic dramatist Plautus writes the play Stichus.
200 B.C.   	Stirrups are probably in use in China by this date.
200 B.C.   	The Nazca culture begins to flourish in Peru about this time.
200 B.C.   	The Sadducees Jewish religious sect begins to flourish about this time.
197 B.C.   	Roman general Titus Quinctius Flamininus defeats Philip V at Cynoscephalae.
196 B.C.   	The Seleucid king Antiochus III invades Thrace.
191 B.C.   	Antiochus III is defeated by the Romans at Thermopylae.
186 B.C.   	The Roman festival of Bacchanalia is prohibited.
185 B.C.   	The Maurya dynasty ends in India with the assassination of Brihadnatha.
184 B.C.   	Cato becomes the censor of Rome.
183 B.C.   	Hannibal commits suicide to avoid surrendering to Rome.
179 B.C.   	Perseus succeeds his father Philip V as king of Macedonia.
175 B.C.   	The Hellenistic sculpture the Laocoon is begun about this time.
174 B.C.   	Building of the colossal temple of Zeus Olympius begins in Athens.
168 B.C.   	Jews under the Maccabees revolt against Seleucid rule in Palestine.
168 B.C.   	The Romans defeat King Perseus and abolish the Macedonian monarchy.
165 B.C.   	Jews, assisted by the Hasideans, occupy Jerusalem and reconsecrate the Temple.
150 B.C.   	Hipparchus of Rhodes compiles the first star catalog.
149 B.C.   	The Third Punic War begins when Carthage attacks Numidia, an ally of Rome.
146 B.C.   	Roman general Scipio Africanus Minor destroys Carthage after a 3-year siege.
146 B.C.   	The Romans destroy the Achaean League in Greece.
145 B.C.   	Ptolemy VIII assassinates Ptolemy VII to become sole ruler of Egypt.
140 B.C.   	Wu Ti (martial emperor) rules the Han dynasty in China.
139 B.C.   	Independence of the Jewish state is recognized by Roman decree.
139 B.C.   	The Romans defeat the Celts in the Iberian Peninsula and found Lusitania.
130 B.C.   	The poet Antipater of Sidon lists the Seven Wonders of the World about this time.
127 B.C.   	Ptolemy begins his book of astronomical phenomena Almagest about this time.
121 B.C.   	The Gallic settlement at Nimes comes under Roman control.
120 B.C.   	Mithradates VI succeeds his father as king of Pontus.
111 B.C.   	Han dynasty China annexes Annam (northern Vietnam).
106 B.C.   	The Gallic city of Tolosa (Toulouse) is conquered by the Romans.
105 B.C.   	Rome defeats king Jugurtha; Numidia becomes part of the Roman Empire.
101 B.C.   	Roman leaders Catulus, Marius and Sulla defeat the Cimbri at the Po River.
100 B.C.   	Bog burials are made in northern Europe about this time.
100 B.C.   	Greek grammarian Dionysius Thrax writes the Art of Grammar about this time.
100 B.C.   	Shadow puppets develop in China about this time.
100 B.C.   	The Anasazi culture begins to flourish in North America about this time.
95 B.C.   	The Scythians conquer Gandhara in present day Pakistan.
95 B.C.   	Tigranes I becomes king of Armenia and begins the expansion of his empire.
91 B.C.   	Marcus Livius Drusus is murdered; Rome and its allies begin the Social War.
89 B.C.   	The right to Roman citizenship is extended throughout Italy.
88 B.C.   	Sulla leads the Roman forces against Mithradates VI in the first Mithradatic War.
87 B.C.   	Gaius Marius and Lucius Cornelius Cinna capture Rome in the civil war.
82 B.C.   	Roman general Sulla captures Rome and becomes dictator.
82 B.C.   	The Romans occupy Tingis (Tangier) in North Africa.
80 B.C.   	Sulla devastates the Etruscan cities; the Etruscans become Roman citizens.
77 B.C.   	Pliny the Elder completes his Historia naturalis, the earliest encyclopedic work.
73 B.C.   	The gladiator Spartacus leads an uprising of fugitive slaves in Italy.
71 B.C.   	Roman general Marcus Licinius Crassus defeats and kills Spartacus at Lucania.
66 B.C.   	The Romans defeat King Tigranes I; Armenia becomes a tributary of Rome.
63 B.C.   	Lucullus and Pompey defeat Mithradates VI in the third Mithradatic War.
63 B.C.   	Roman general Pompey conquers Palestine and captures Jerusalem.
60 B.C.   	Pompey, Crassus and Julius Caesar form the first Roman Triumvirate.
59 B.C.   	The Acta diurna, a type of news gazette, is published in Rome.
58 B.C.   	The Gallic Wars begin when Julius Ceasar invades Gaul.
58 B.C.   	The island of Cyprus is annexed by Rome.
57 B.C.   	Julius Caesar conquers the Belgae in present day Belgium.
57 B.C.   	The kingdom of Silla is established in Korea.
55 B.C.   	Julius Caesar's Roman legions invade Britain.
55 B.C.   	Pompey's Theater, the first permanent Roman playhouse, is built.
52 B.C.   	Vercingetorix unites the Gallic tribes to resist Rome.
51 B.C.   	Julius Caesar conquers Gaul, ending the Gallic Wars.
50 B.C.   	Glassblowing is discovered about this time in Phoenicia.
50 B.C.   	Roman philosopher-poet Lucretius writes De rerum natura about this time.
49 B.C.   	Julius Caesar crosses the Rubicon into Italy and begins a civil war.
48 B.C.   	Caesar defeats Pompey at Pharsalus; Pompey is assassinated in Egypt.
48 B.C.   	Civil war breaks out in Egypt between Ptolemy XIII and his sister Cleopatra.
47 B.C.   	Caesar's Roman army arrives in Egypt; Cleopatra becomes Caesar's mistress.
47 B.C.   	Caesar's army defeats and kills Ptolemy XIII.
46 B.C.   	Caesar is appointed dictator of Rome.
44 B.C.   	Marcus Junius Brutus and Gaius Cassius Longinus assassinate Julius Caesar.
43 B.C.   	Mark Antony, Octavian (Augustus) and Lepidus form the Second Triumvirate in Rome.
42 B.C.   	Octavian and Mark Antony defeat Brutus and Cassius Longinus at Philippi.
42 B.C.   	Queen Cleopatra of Egypt becomes Mark Antony's mistress.
37 B.C.   	Herod the Great rules Judea under Roman appointment.
37 B.C.   	Marcus Agrippa's Roman fleet defeats Sextus Pompeius at Mylae.
31 B.C.   	Octavian defeats Mark Antony and Cleopatra at the Battle of Actium.
30 B.C.   	Cleopatra and Mark Antony commit suicide.
30 B.C.   	Egypt is declared a Roman province, ending the Ptolemaic dynasty.
29 B.C.   	Roman poet Vergil begins the Aeneid.
27 B.C.   	Octavian becomes the first Roman emperor; the Senate names him Augustus.
27 B.C.   	Roman emperor Augustus establishes the Praetorian guard.
23 B.C.   	Roman lyric poet Horace writes his three books of 88 Odes.
20 B.C.   	Marcus Verrius Flaccus compiles the first general dictionary.
19 B.C.   	The Romans build the Pont du Gard at Nimes in Gaul (now France).
19 B.C.   	The Romans complete their conquest of the Iberian Peninsula.
18 B.C.   	The Kingdom of Paekche is established in Korea.
16 B.C.   	The Maison Carree temple is donated to the city of Nimes by Marcus Agrippa.
12 B.C.   	The Romans begin an attempt to conquer Germany.
6 B.C.    	Jesus Christ is born in Bethlehem at about this time.
6 B.C.    	Judea comes under the direct control of Roman procurators.
4 B.C.    	Herod the Great dies; Emperor Augustus divides Herod's kingdom among his sons.
1 B.C.    	Roman poet Ovid writes the Art of Love.
4         	Roman emperor Augustus adopts Tiberius and recognizes him as his successor.
6         	Judea becomes a province of Rome.
8         	Roman poet Ovid completes his greatest poetic achievement Metamorphoses.
9         	Chinese emperor Wang Mang founds the Hsin dynasty, ending the Former Han dynasty.
9         	German leader Arminius defeats three Roman legions in the Battle of Teutoburg Forest.
14        	Augustus dies; he is succeeded by Tiberius as emperor of Rome.
23        	Chinese emperor Wang Mang dies.
25        	The Later Han dynasty is established in China.
27        	Jesus Christ is baptized by John the Baptist and begins his ministry.
28        	John the Baptist is executed by Herod Antipas.
30        	Jesus Christ is crucified by order of Pontius Pilate, Roman governor of Judea.
32        	St. Paul is converted to Christianity.
37        	Tiberius dies; he is succeeded by Caligula as emperor of Rome.
39        	The Roman encyclopedist Celsus dies.
40        	An early Christian church is erected at Corinth.
